사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
44228 ,2호선,12 ,을지로입구,43 ,1 ,1331 ,1622 ,2237 ,19981 ,5785 ,89773 ,9344 ,225150 ,9996 ,114402 ,12674 ,49314 ,19278 ,41454 ,23800 ,35657 ,32164 ,35187 ,36663 ,31331 ,47156 ,28339 ,55543 ,26748 ,112771 ,28568 ,188455 ,29796 ,82726 ,15420 ,78671 ,8770 ,53164 ,9384 ,25264 ,6023 ,3360 ,2023 ,1 ,784 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,13 ,을지로3가,17 ,0 ,612 ,1269 ,1469 ,13019 ,4078 ,49730 ,6506 ,118417 ,7049 ,53601 ,8529 ,23342 ,11145 ,17621 ,12415 ,17134 ,15241 ,19228 ,18845 ,17241 ,22559 ,15837 ,27979 ,15489 ,56843 ,16711 ,99601 ,17465 ,42631 ,8237 ,31216 ,4116 ,36574 ,4409 ,20781 ,2904 ,2561 ,985 ,1 ,94 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,14 ,을지로4가,6 ,0 ,758 ,937 ,1121 ,9012 ,2226 ,24168 ,4150 ,59985 ,4954 ,33807 ,6427 ,18777 ,9163 ,16309 ,11435 ,15034 ,12971 ,15060 ,16007 ,14483 ,19272 ,12761 ,22741 ,10571 ,39941 ,9070 ,54483 ,7548 ,25427 ,4340 ,13563 ,2348 ,11993 ,2824 ,6443 ,1884 ,1227 ,788 ,0 ,46 ,1 ,1 ,0 ,0 ,0 ,0 
44228 ,2호선,15 ,동대문역사문화공원(DDP),267 ,3 ,5067 ,657 ,3412 ,5201 ,4764 ,12846 ,6771 ,35477 ,6976 ,22650 ,7003 ,18339 ,9011 ,18950 ,11730 ,17623 ,13139 ,18441 ,15974 ,19234 ,18980 ,16982 ,22431 ,14475 ,29481 ,15050 ,32119 ,15950 ,19312 ,16936 ,15202 ,10278 ,16192 ,8374 ,8734 ,6254 ,2471 ,3818 ,1 ,283 ,1 ,1 ,0 ,0 ,0 ,0 
44228 ,2호선,16 ,신당,57 ,0 ,4355 ,892 ,8282 ,6763 ,19158 ,12142 ,32886 ,26774 ,19735 ,18438 ,14160 ,14773 ,14196 ,14944 ,15845 ,16500 ,17228 ,17323 ,18189 ,18230 ,19142 ,18619 ,20944 ,20846 ,24060 ,25207 ,27126 ,35051 ,16734 ,24323 ,13163 ,14905 ,12372 ,17261 ,8152 ,12121 ,1951 ,4864 ,4 ,89 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,17 ,상왕십리,49 ,0 ,4350 ,380 ,9467 ,4064 ,28502 ,8813 ,45484 ,27629 ,24869 ,15579 ,16137 ,10835 ,15057 ,9765 ,15514 ,11077 ,15786 ,12121 ,14404 ,12656 ,15329 ,14277 ,15636 ,16750 ,19110 ,24235 ,22776 ,38887 ,12957 ,27935 ,9683 ,17485 ,9415 ,20833 ,5166 ,14203 ,1161 ,5482 ,0 ,18 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,18 ,왕십리(성동구청),649 ,1 ,4860 ,568 ,7074 ,4127 ,18721 ,8230 ,34379 ,21367 ,21092 ,14172 ,14022 ,11223 ,14642 ,11783 ,16378 ,13956 ,18086 ,15435 ,18130 ,15527 ,19030 ,17072 ,20796 ,19844 ,25923 ,26693 ,29201 ,41023 ,17495 ,24747 ,19974 ,14280 ,26303 ,16178 ,15472 ,12049 ,3056 ,5137 ,9 ,50 ,1 ,1 ,0 ,0 ,0 ,0 
44228 ,2호선,19 ,한양대,2 ,0 ,584 ,146 ,1540 ,4018 ,3663 ,6616 ,6024 ,21703 ,4210 ,23095 ,3716 ,12518 ,4800 ,7469 ,6307 ,8051 ,6354 ,9197 ,6873 ,7732 ,8296 ,6129 ,12448 ,5243 ,19886 ,5499 ,19700 ,6401 ,8992 ,4277 ,6223 ,3481 ,7220 ,4117 ,5528 ,2932 ,1901 ,1312 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,0 
44228 ,2호선,20 ,뚝섬,15 ,1 ,2553 ,1648 ,5943 ,9822 ,13856 ,26182 ,20179 ,108147 ,13028 ,66137 ,10501 ,26898 ,11434 ,19606 ,13749 ,22069 ,17174 ,24108 ,19679 ,22063 ,23349 ,22310 ,28823 ,22129 ,47088 ,24254 ,96935 ,30644 ,48741 ,18681 ,30396 ,10697 ,29013 ,11620 ,14814 ,8069 ,2148 ,3382 ,1 ,32 ,3 ,3 ,0 ,0 ,0 ,0 
44228 ,2호선,21 ,성수,24 ,0 ,4088 ,2644 ,6908 ,20269 ,17298 ,56688 ,24665 ,215620 ,18102 ,110580 ,15496 ,37491 ,17262 ,28079 ,19768 ,31953 ,24149 ,35680 ,28070 ,35475 ,33866 ,35630 ,42608 ,34417 ,81908 ,35704 ,177658 ,41429 ,81256 ,25228 ,51080 ,12879 ,53358 ,13668 ,24597 ,9862 ,3430 ,5425 ,5 ,1172 ,0 ,1 ,0 ,0 ,0 ,0 
